Name,Age,Height,Weight,Gender,Hair Colour,Skin Colour,Profession,Allergies,Commitment,Work Preference
Kevin Hayes,29,194,72,Male,Black,Tan,Scientist,Perfumes/Household Chemicals,Long Term,Solo
Joseph Wood,62,198,81,Female,Red,Olive,Nurse,Latex,Short Term,Team
Jordan Wood,62,197,115,Female,White,Brown,Developer,Insect Stings,Short Term,Team
Corey Ross,63,168,94,Male,White,Dark,Doctor,Insect Stings,Long Term,Team
Shane Campbell,53,180,103,Female,Red,Light,Writer,Foods,Short Term,Solo
Chris Miller,60,153,75,Female,Brown,Olive,Nurse,Animals,Short Term,Solo
Corey Russell,52,152,95,Female,Black,Brown,Writer,Pollen,Long Term,Team
Kevin Washington,36,194,56,Female,Red,Tan,Developer,Insect Stings,Short Term,Team
Hunter Bell,29,193,59,Male,Brown,Dark,Writer,Foods,Long Term,Team
Joshua Adams,53,166,66,Male,Grey,Olive,Teacher,Dust Mites,Long Term,Team
Jamie Robinson,38,188,56,Female,Red,Brown,Writer,Dust Mites,Short Term,Solo
Landon Hernandez,29,183,58,Male,Red,Brown,Writer,Medications,Short Term,Solo
Eli Young,60,171,92,Female,Blonde,Medium,Scientist,Insect Stings,Long Term,Team
Cameron Long,40,178,80,Male,Black,Dark,Developer,Medications,Short Term,Solo
Evan Ramirez,64,168,53,Female,Grey,Brown,Musician,Latex,Short Term,Solo
Owen Walker,38,182,60,Male,Brown,Brown,Writer,No allergies,Short Term,Team
Kayden Simmons,39,152,61,Male,Black,Medium,Nurse,Insect Stings,Short Term,Team
Finn Morris,42,178,101,Female,Blonde,Light,Chef,Foods,Short Term,Team
Seth Alexander,55,152,59,Female,Grey,Light,Nurse,Mold,Short Term,Solo
Shane Morgan,42,175,53,Female,Brown,Brown,Artist,Animals,Long Term,Solo
Mason Bennett,43,184,120,Male,Blonde,Medium,Developer,Pollen,Long Term,Team
Cody Lee,32,189,82,Male,Black,Medium,Scientist,No allergies,Long Term,Team
Hunter Long,22,166,62,Male,White,Brown,Musician,Dust Mites,Long Term,Team
Patrick Perry,33,156,86,Male,Brown,Olive,Musician,Latex,Long Term,Solo
Reid Sanders,27,186,96,Female,Red,Medium,Teacher,Dust Mites,Short Term,Team
Sam Bryant,59,177,85,Female,Brown,Dark,Developer,Latex,Long Term,Solo
Riley James,34,184,119,Female,White,Medium,Developer,Medications,Short Term,Solo
Kaiden Clark,29,186,68,Female,Blonde,Light,Artist,Latex,Short Term,Team
Finn Evans,32,152,76,Female,Red,Tan,Musician,No allergies,Short Term,Solo
Blake Butler,51,190,85,Female,Grey,Brown,Scientist,Animals,Long Term,Solo
James Price,59,154,116,Female,Red,Medium,Writer,Medications,Long Term,Solo
Kelsey Cooper,56,150,114,Male,Red,Medium,Artist,Foods,Long Term,Team
Christian Lee,28,173,65,Male,Red,Olive,Engineer,Latex,Long Term,Solo
Corey Price,28,191,102,Male,Brown,Light,Doctor,Perfumes/Household Chemicals,Short Term,Team
Noah Ward,20,186,68,Male,Brown,Olive,Doctor,Insect Stings,Long Term,Team
Samuel Gonzales,60,168,60,Male,Red,Brown,Musician,Latex,Short Term,Team
Troy Morris,56,159,73,Female,Brown,Dark,Developer,Latex,Short Term,Team
Jayden Collins,26,156,52,Male,Grey,Brown,Chef,Animals,Short Term,Team
Chase Hill,48,199,79,Male,Blonde,Brown,Writer,Medications,Long Term,Team
Alex Butler,65,200,50,Male,Grey,Light,Chef,Pollen,Long Term,Solo
James White,27,177,82,Female,Grey,Tan,Scientist,Dust Mites,Long Term,Solo
Mason Phillips,63,175,67,Male,White,Medium,Musician,Animals,Short Term,Team
Kevin Sanchez,39,185,56,Male,Red,Dark,Teacher,Foods,Short Term,Solo
Michael Cook,23,154,83,Male,Blonde,Light,Scientist,No allergies,Long Term,Solo
Nathan Perry,51,168,57,Male,White,Tan,Musician,No allergies,Short Term,Solo
Cooper Brown,56,182,116,Male,Grey,Medium,Teacher,Dust Mites,Short Term,Team
Cody Thomas,35,199,101,Female,White,Tan,Chef,Perfumes/Household Chemicals,Short Term,Team
Sean Butler,22,155,120,Female,White,Brown,Scientist,Dust Mites,Long Term,Solo
Eli Wood,30,179,101,Male,Blonde,Medium,Chef,Insect Stings,Short Term,Team
Kendall Gonzalez,39,157,115,Female,Grey,Brown,Nurse,Latex,Long Term,Solo
Shawn Lopez,39,199,108,Female,Grey,Light,Musician,Foods,Long Term,Team
Jayden Coleman,32,193,79,Female,Red,Olive,Writer,Insect Stings,Short Term,Solo
Ethan Baker,23,175,93,Male,Grey,Medium,Musician,Dust Mites,Long Term,Team
Mason Green,29,197,74,Female,White,Medium,Artist,Pollen,Long Term,Team
Elijah Hall,33,189,95,Male,Black,Light,Engineer,Latex,Short Term,Team
Victor Cooper,41,189,90,Female,Grey,Olive,Musician,Animals,Long Term,Solo
Eli Russell,54,158,56,Female,Red,Brown,Teacher,Insect Stings,Long Term,Solo
Quentin Hayes,29,179,65,Female,Blonde,Dark,Teacher,No allergies,Short Term,Solo
Matteo Jackson,38,173,83,Male,Grey,Olive,Artist,Mold,Long Term,Solo
James Lee,49,177,76,Female,White,Olive,Developer,Medications,Long Term,Solo
Corbin Martinez,65,159,110,Male,Brown,Tan,Musician,Animals,Long Term,Solo
Ian Hill,53,186,56,Female,Black,Dark,Doctor,No allergies,Short Term,Solo
Keith Henderson,24,178,92,Female,Blonde,Olive,Writer,Insect Stings,Long Term,Solo
Taylor Morris,25,172,75,Male,Blonde,Olive,Developer,Insect Stings,Long Term,Solo
Aiden Edwards,57,168,109,Male,Brown,Dark,Developer,Medications,Long Term,Team
Aiden Clark,39,164,90,Female,White,Olive,Nurse,Perfumes/Household Chemicals,Long Term,Solo
Kai Hayes,41,197,116,Female,Red,Medium,Doctor,No allergies,Short Term,Team
Parker Hill,65,194,60,Male,Brown,Tan,Engineer,Foods,Short Term,Solo
Logan Miller,19,199,100,Male,Black,Olive,Scientist,Animals,Short Term,Solo
Isaac King,33,197,86,Female,White,Medium,Doctor,Insect Stings,Short Term,Team
Isaac Parker,44,166,69,Female,Black,Light,Writer,Animals,Long Term,Solo
Keith Gray,18,194,112,Female,Blonde,Light,Chef,Mold,Short Term,Team
Logan Evans,30,176,105,Female,Brown,Medium,Chef,Medications,Short Term,Solo
Aiden Reed,58,165,116,Female,Blonde,Dark,Writer,Mold,Long Term,Team
Wyatt Moore,29,158,87,Male,White,Tan,Scientist,Latex,Long Term,Solo
Cooper Perez,19,159,56,Male,Brown,Light,Nurse,Mold,Short Term,Solo
Sawyer Johnson,32,155,69,Male,Red,Medium,Developer,Medications,Long Term,Solo
Jasper Bailey,62,200,54,Female,Black,Medium,Teacher,Mold,Long Term,Team
Liam Rivera,29,162,82,Female,Black,Light,Artist,Medications,Long Term,Team
Sebastian James,51,157,82,Female,White,Olive,Artist,Dust Mites,Short Term,Team
Cameron Wright,58,177,91,Male,Brown,Olive,Scientist,Foods,Long Term,Team
Quentin Ross,39,198,57,Male,Blonde,Dark,Doctor,Insect Stings,Short Term,Team
Kelsey King,38,185,94,Female,White,Medium,Teacher,Medications,Long Term,Team
Evan Davis,49,195,106,Female,Grey,Dark,Musician,Pollen,Short Term,Solo
Jack Gonzales,47,167,120,Male,Black,Brown,Doctor,Latex,Long Term,Solo
Liam Parker,47,150,114,Female,White,Medium,Teacher,Perfumes/Household Chemicals,Long Term,Team
Riley Hall,24,181,74,Male,Black,Brown,Chef,Latex,Long Term,Team
James Hernandez,56,195,59,Male,Brown,Dark,Musician,Foods,Long Term,Team
James Watson,65,176,97,Male,Grey,Olive,Writer,No allergies,Short Term,Solo
Quinn Young,51,156,62,Male,Grey,Tan,Artist,Pollen,Short Term,Team
Lucas Alexander,53,176,63,Female,White,Tan,Chef,Foods,Short Term,Team
Logan Sanchez,50,171,70,Female,Blonde,Olive,Writer,Dust Mites,Long Term,Solo
Shane Coleman,45,196,91,Male,Grey,Brown,Artist,Medications,Long Term,Solo
Kaiden Bell,43,150,54,Female,Grey,Light,Writer,Animals,Long Term,Team
Ian Hernandez,31,170,52,Female,Grey,Brown,Writer,Perfumes/Household Chemicals,Short Term,Team
Riley Murphy,40,159,67,Female,Blonde,Brown,Artist,Pollen,Long Term,Solo
Michael Jenkins,37,152,98,Male,Black,Olive,Developer,Medications,Long Term,Team
Shawn King,65,191,51,Female,Black,Olive,Writer,No allergies,Long Term,Team
Jack Howard,62,164,69,Male,White,Dark,Chef,Latex,Short Term,Team
Julian Gonzalez,43,159,66,Female,Black,Tan,Scientist,No allergies,Long Term,Solo
Aiden Sanchez,50,177,66,Male,Red,Brown,Artist,Latex,Long Term,Team
Lucas Barnes,65,183,81,Male,Black,Olive,Chef,Dust Mites,Short Term,Team
Patrick Morris,45,173,94,Male,Blonde,Olive,Scientist,No allergies,Long Term,Team
Jaden Barnes,46,189,68,Female,Black,Medium,Artist,Dust Mites,Short Term,Team
Taylor Roberts,31,197,118,Male,Brown,Brown,Writer,Mold,Long Term,Team
Reid Washington,60,151,98,Male,Blonde,Medium,Teacher,Mold,Short Term,Solo
Morgan Bailey,59,150,58,Female,White,Olive,Developer,Foods,Short Term,Solo
Owen Collins,32,174,115,Male,Blonde,Tan,Scientist,Insect Stings,Short Term,Team
Corbin Howard,47,185,52,Male,Brown,Brown,Nurse,Dust Mites,Long Term,Solo
Sebastian Clark,19,172,95,Female,White,Olive,Artist,Insect Stings,Long Term,Team
Noah Hill,42,151,85,Male,Brown,Olive,Chef,Animals,Short Term,Solo
Kyle Patterson,57,190,79,Female,Brown,Brown,Doctor,Medications,Long Term,Solo
Kaiden Ramirez,26,163,67,Male,Brown,Olive,Writer,Animals,Long Term,Team
Owen Brooks,28,170,58,Male,Brown,Olive,Doctor,No allergies,Long Term,Solo
Miles Brooks,57,164,79,Male,White,Light,Developer,Foods,Long Term,Team
Kendall Wood,48,195,97,Male,Red,Tan,Musician,Animals,Short Term,Team
Eli Brown,44,198,51,Female,Red,Medium,Artist,Pollen,Short Term,Team
Kai Barnes,49,194,91,Female,Brown,Tan,Chef,No allergies,Long Term,Solo
John Barnes,65,186,118,Male,Grey,Light,Musician,Latex,Short Term,Team
John Nelson,36,179,71,Female,Blonde,Brown,Teacher,Insect Stings,Short Term,Solo
Troy Jenkins,46,155,114,Male,Brown,Brown,Writer,Animals,Long Term,Solo
Jack Bell,19,161,108,Male,Red,Light,Nurse,Dust Mites,Short Term,Team
Avery Harris,63,178,96,Male,Grey,Dark,Chef,Insect Stings,Short Term,Solo
Logan Edwards,20,199,71,Female,Grey,Dark,Doctor,Animals,Short Term,Team
Corbin Smith,57,198,82,Male,Red,Tan,Musician,Insect Stings,Short Term,Solo
Elliot Young,55,192,110,Female,Red,Tan,Engineer,Perfumes/Household Chemicals,Short Term,Team
Wyatt Brown,60,186,88,Female,Black,Light,Engineer,Medications,Short Term,Team
Jack Evans,42,154,104,Male,Blonde,Tan,Doctor,Foods,Long Term,Solo
Joshua Wood,38,166,117,Female,Brown,Brown,Scientist,Latex,Long Term,Solo
Evan Moore,37,169,114,Female,Black,Light,Developer,Dust Mites,Long Term,Team
Troy Lewis,30,171,93,Female,Red,Light,Doctor,Latex,Short Term,Solo
Mason Hughes,39,200,95,Male,Brown,Olive,Teacher,Dust Mites,Long Term,Team
Mason Wood,42,161,64,Female,White,Olive,Teacher,Mold,Long Term,Team
Sidney Hall,23,178,114,Male,Red,Brown,Doctor,Pollen,Long Term,Solo
Sawyer Peterson,37,199,91,Male,Black,Brown,Doctor,Pollen,Short Term,Solo
Jesse Simmons,51,157,50,Female,Black,Dark,Scientist,Foods,Long Term,Solo
Jamie White,51,199,89,Male,Grey,Olive,Artist,Dust Mites,Short Term,Team
Hayden Adams,52,170,106,Male,Blonde,Medium,Doctor,Mold,Short Term,Team
Cole Taylor,37,189,93,Female,Black,Medium,Teacher,Latex,Short Term,Team
Jesse Miller,23,177,100,Male,White,Brown,Scientist,Latex,Long Term,Solo
Jackson Hall,63,198,118,Male,Red,Brown,Doctor,Foods,Long Term,Team
Kayden Carter,61,191,109,Female,Brown,Medium,Doctor,Perfumes/Household Chemicals,Long Term,Solo
John Lee,62,192,92,Female,Red,Tan,Teacher,Foods,Long Term,Team
Jaden Cooper,47,160,86,Female,Grey,Brown,Doctor,Insect Stings,Short Term,Solo
Trevor Simmons,24,170,59,Female,Grey,Tan,Chef,Perfumes/Household Chemicals,Long Term,Team
Nico Lopez,53,160,111,Female,Black,Olive,Artist,Perfumes/Household Chemicals,Long Term,Solo
Luke Turner,52,194,80,Male,White,Dark,Engineer,Perfumes/Household Chemicals,Long Term,Team
Jack Cox,59,192,57,Male,Brown,Medium,Scientist,No allergies,Short Term,Team
Kaiden Gray,36,174,107,Male,Brown,Dark,Developer,Mold,Long Term,Solo
Sam Phillips,23,187,51,Female,Brown,Olive,Teacher,Dust Mites,Short Term,Team
Ryan Watson,40,157,86,Male,Brown,Tan,Scientist,Medications,Long Term,Solo
Jonah Edwards,45,184,77,Male,Red,Medium,Artist,Insect Stings,Long Term,Solo
Chase Anderson,26,191,103,Female,White,Brown,Chef,Perfumes/Household Chemicals,Short Term,Solo
Kevin Reed,53,178,99,Female,Brown,Medium,Chef,Perfumes/Household Chemicals,Short Term,Solo
Luke Cooper,63,173,64,Female,White,Light,Doctor,Insect Stings,Long Term,Solo
Kyle Anderson,51,189,61,Male,Red,Dark,Engineer,Insect Stings,Long Term,Team
Jacob Gray,18,180,108,Female,Grey,Dark,Developer,Medications,Long Term,Solo
Hunter Rodriguez,20,194,88,Female,Black,Dark,Musician,Perfumes/Household Chemicals,Short Term,Team
Parker Gonzalez,65,189,53,Female,Red,Light,Doctor,Insect Stings,Short Term,Solo
Chris Bennett,27,181,102,Female,Brown,Dark,Musician,Animals,Short Term,Solo
Morgan Jenkins,34,198,64,Male,Brown,Tan,Chef,Latex,Long Term,Solo
Hayden Bell,42,193,90,Male,Black,Brown,Developer,Medications,Long Term,Solo
Gavin Green,24,166,100,Female,White,Dark,Artist,Perfumes/Household Chemicals,Short Term,Solo
Peter Flores,29,170,120,Male,White,Light,Engineer,No allergies,Long Term,Team
Landon White,61,178,94,Male,White,Olive,Nurse,Pollen,Short Term,Team
Nico Thomas,21,188,77,Male,White,Light,Engineer,Perfumes/Household Chemicals,Short Term,Solo
Parker Griffin,59,186,73,Male,White,Medium,Nurse,Mold,Long Term,Team
Jesse Roberts,21,166,83,Male,Red,Light,Musician,Pollen,Long Term,Team
Oliver Richardson,24,159,119,Female,Brown,Brown,Engineer,Latex,Long Term,Team
Riley Taylor,22,186,82,Female,Black,Tan,Doctor,No allergies,Short Term,Solo
Quentin Nelson,43,153,61,Female,Grey,Olive,Engineer,Latex,Long Term,Team
Noah Morgan,65,162,67,Male,Brown,Light,Scientist,Pollen,Long Term,Solo
Dakota Ramirez,59,169,113,Female,Black,Light,Developer,No allergies,Long Term,Team
Jonah Martin,31,191,116,Female,White,Brown,Doctor,Perfumes/Household Chemicals,Short Term,Team
Riley Bryant,27,181,52,Female,Grey,Light,Artist,Animals,Short Term,Team
Noah Miller,37,200,62,Female,Grey,Medium,Scientist,Foods,Short Term,Team
Ken Bennett,57,164,58,Male,Red,Olive,Chef,Dust Mites,Short Term,Team
Jack Young,20,187,72,Female,Black,Light,Nurse,Animals,Long Term,Team
Robert Evans,53,160,106,Male,Grey,Light,Doctor,Foods,Long Term,Team
Taylor Richardson,23,150,50,Male,Black,Dark,Scientist,Mold,Long Term,Solo
Sam Cox,57,155,88,Female,Red,Light,Writer,Pollen,Short Term,Team
Landon Jackson,57,173,119,Male,Red,Dark,Artist,Mold,Short Term,Team
Cameron Robinson,61,180,113,Male,Brown,Dark,Teacher,No allergies,Long Term,Solo
Corey Cook,34,171,108,Male,Black,Dark,Teacher,Insect Stings,Short Term,Team
Corbin Alexander,61,170,79,Male,Blonde,Medium,Engineer,Pollen,Long Term,Team
Jayden Hernandez,22,180,112,Male,Red,Medium,Artist,Perfumes/Household Chemicals,Long Term,Team
Grayson Garcia,25,179,108,Female,Brown,Olive,Artist,Mold,Short Term,Team
Mason James,32,155,102,Female,Brown,Brown,Musician,Latex,Long Term,Team
Sawyer Reed,65,165,81,Female,Red,Brown,Artist,Perfumes/Household Chemicals,Short Term,Team
Joseph Davis,20,180,114,Male,Red,Brown,Chef,Latex,Short Term,Solo
Taylor Cooper,60,169,70,Female,Grey,Dark,Scientist,No allergies,Long Term,Solo
Shawn Garcia,63,175,73,Female,White,Tan,Teacher,Foods,Long Term,Solo
Landon Brown,36,177,84,Male,White,Light,Scientist,Dust Mites,Short Term,Solo
Chase Roberts,33,184,64,Female,White,Brown,Artist,Pollen,Long Term,Solo
Gavin Howard,61,177,85,Male,Black,Olive,Developer,Latex,Long Term,Team
Keith Butler,52,193,118,Female,Red,Brown,Developer,Foods,Short Term,Solo
Avery Anderson,43,161,86,Male,Black,Medium,Nurse,Foods,Short Term,Solo
Christian Allen,51,190,52,Female,Red,Dark,Writer,Animals,Long Term,Solo
Joseph Morgan,65,191,52,Female,Brown,Light,Teacher,Pollen,Long Term,Solo
Matteo Turner,59,191,91,Female,Grey,Dark,Writer,Insect Stings,Long Term,Solo
Chris Campbell,36,179,71,Male,White,Brown,Nurse,Animals,Short Term,Team
Cody Wright,25,152,90,Male,Red,Olive,Developer,Animals,Short Term,Team
Patrick Mitchell,40,159,97,Female,Grey,Medium,Writer,Mold,Short Term,Team
Jonah Cox,27,179,90,Male,Black,Dark,Writer,Insect Stings,Long Term,Solo
Keith Gonzalez,54,192,68,Female,Blonde,Dark,Engineer,Latex,Short Term,Team
Peter James,25,169,53,Female,Grey,Medium,Musician,Dust Mites,Short Term,Solo
Charlie Wood,59,162,117,Male,Blonde,Medium,Teacher,Foods,Long Term,Team
Kevin Stewart,30,181,90,Male,White,Olive,Chef,Animals,Long Term,Solo
Sean Rogers,46,168,70,Female,White,Tan,Doctor,Perfumes/Household Chemicals,Short Term,Team
Joseph Lewis,53,179,67,Male,Brown,Tan,Nurse,Insect Stings,Long Term,Team
Tristan Nelson,55,169,113,Female,Brown,Light,Teacher,Animals,Long Term,Solo
Nolan Coleman,48,157,86,Female,Brown,Tan,Artist,No allergies,Short Term,Solo
Ken Moore,56,197,96,Female,Grey,Tan,Nurse,Latex,Short Term,Solo
Kevin Gonzales,54,151,83,Male,Grey,Light,Doctor,Dust Mites,Long Term,Team
Jake Clark,21,167,96,Female,White,Olive,Teacher,Mold,Long Term,Team
Kevin Walker,58,161,62,Male,Grey,Olive,Developer,Mold,Long Term,Solo
Bailey Gray,55,172,68,Male,Brown,Brown,Nurse,Dust Mites,Long Term,Solo
Jacob Clark,24,163,69,Male,Brown,Brown,Scientist,Insect Stings,Short Term,Solo
Kayden Taylor,25,158,52,Female,Blonde,Olive,Developer,Animals,Long Term,Solo
Colin Butler,37,151,65,Male,Brown,Dark,Doctor,Pollen,Long Term,Team
Corey Thompson,23,177,64,Male,Black,Tan,Chef,No allergies,Short Term,Team
Seth Jackson,25,188,76,Male,Brown,Dark,Developer,No allergies,Short Term,Team
Victor Alexander,35,187,94,Female,Brown,Brown,Scientist,Pollen,Short Term,Team
Trevor Sanders,18,183,77,Male,Blonde,Medium,Writer,No allergies,Short Term,Team
Kendall Butler,48,173,73,Female,White,Light,Doctor,Dust Mites,Long Term,Solo
Dylan Ward,32,176,64,Female,Black,Tan,Engineer,Insect Stings,Short Term,Solo
Shane Parker,63,168,55,Male,Blonde,Tan,Engineer,Medications,Long Term,Solo
Michael Bryant,37,193,106,Male,Grey,Tan,Nurse,Medications,Short Term,Team
Tyler Rivera,61,173,72,Male,White,Tan,Engineer,Medications,Long Term,Team
Carson Martinez,43,175,63,Male,Black,Olive,Artist,Dust Mites,Short Term,Solo
Carson King,45,196,113,Female,White,Brown,Scientist,Mold,Long Term,Solo
Ken King,58,158,53,Male,White,Light,Engineer,Latex,Short Term,Team
Jayden Wood,61,170,69,Female,Grey,Brown,Engineer,Foods,Long Term,Solo
Corbin Gonzalez,60,181,112,Female,Grey,Olive,Writer,Insect Stings,Short Term,Team
Julian Martin,42,178,90,Female,Red,Tan,Teacher,No allergies,Short Term,Solo
Ryan Rodriguez,49,177,67,Female,White,Tan,Musician,Foods,Long Term,Solo
Keith Watson,28,182,57,Female,Blonde,Tan,Scientist,Medications,Long Term,Solo
Jack Wilson,19,187,55,Male,Blonde,Olive,Scientist,No allergies,Long Term,Solo
Bailey Reed,40,172,102,Female,Black,Dark,Artist,Pollen,Short Term,Solo
Max Anderson,62,154,89,Male,Blonde,Medium,Teacher,Insect Stings,Long Term,Team
Kayden Powell,45,186,115,Female,Blonde,Light,Musician,Perfumes/Household Chemicals,Short Term,Solo
Jayden Kelly,42,170,62,Female,Black,Dark,Artist,Dust Mites,Long Term,Solo
Cole Barnes,37,173,105,Male,Red,Dark,Engineer,Insect Stings,Short Term,Solo
Finn Miller,37,186,101,Male,Grey,Dark,Engineer,Perfumes/Household Chemicals,Short Term,Solo
Gavin Moore,54,183,110,Female,Brown,Olive,Engineer,Mold,Long Term,Solo
Noah Butler,51,161,113,Male,White,Dark,Musician,Mold,Long Term,Team
Kyle Hall,41,179,68,Male,Brown,Dark,Nurse,Medications,Long Term,Solo
Troy Moore,58,163,102,Female,Blonde,Dark,Doctor,Mold,Short Term,Solo
Elliot Harris,27,162,53,Male,Blonde,Tan,Musician,Insect Stings,Long Term,Solo
Oliver Brown,30,160,84,Male,Black,Olive,Nurse,Insect Stings,Short Term,Team
Samuel Richardson,19,153,60,Female,Grey,Olive,Engineer,Medications,Long Term,Team
John Foster,26,165,64,Male,Grey,Dark,Scientist,Insect Stings,Long Term,Solo
Avery Wright,56,157,90,Female,Grey,Dark,Chef,Pollen,Long Term,Team
Chris White,29,163,85,Female,Red,Olive,Scientist,No allergies,Long Term,Solo
Robert Harris,38,184,104,Female,White,Medium,Nurse,Animals,Long Term,Solo
Sam Evans,37,151,54,Male,White,Dark,Artist,Mold,Long Term,Solo
Nolan Washington,41,193,65,Male,Red,Tan,Teacher,Medications,Long Term,Solo
Aiden Hayes,49,180,102,Female,White,Tan,Engineer,Animals,Long Term,Team
Jake Rogers,56,196,120,Female,Red,Dark,Teacher,No allergies,Short Term,Solo
Tanner Jenkins,26,150,101,Male,White,Olive,Developer,Perfumes/Household Chemicals,Short Term,Team
Cody Lopez,51,195,66,Female,Blonde,Tan,Musician,Animals,Long Term,Team
Quentin Price,38,168,75,Male,Red,Olive,Doctor,Medications,Long Term,Team
Taylor Williams,53,191,79,Male,Red,Medium,Nurse,Animals,Short Term,Solo
Nico Reed,56,166,69,Male,Blonde,Medium,Scientist,Foods,Short Term,Solo
Shawn Murphy,61,181,65,Male,White,Medium,Artist,Mold,Long Term,Solo
Jayden Thompson,45,163,77,Female,White,Dark,Artist,Medications,Short Term,Solo
Tanner Martinez,19,168,83,Male,Grey,Tan,Artist,Dust Mites,Long Term,Team
Jordan Rivera,26,170,100,Male,White,Tan,Chef,Perfumes/Household Chemicals,Long Term,Team
Finn Rodriguez,50,181,93,Female,Brown,Light,Developer,Insect Stings,Long Term,Team
Finn Harris,38,152,66,Female,Blonde,Dark,Developer,Medications,Long Term,Solo
Nathan Griffin,34,183,90,Female,Brown,Olive,Musician,Animals,Long Term,Team
Cooper Robinson,21,164,73,Male,Red,Olive,Doctor,Latex,Long Term,Team
Ken Davis,46,172,112,Female,Red,Light,Doctor,Foods,Long Term,Team
Corey Baker,29,160,115,Female,Grey,Dark,Scientist,Pollen,Short Term,Team
Joseph Taylor,33,199,113,Male,Blonde,Light,Nurse,Foods,Long Term,Solo
Max White,38,159,53,Male,Red,Dark,Musician,Latex,Long Term,Team
Jackson Davis,59,189,107,Female,White,Dark,Scientist,Animals,Short Term,Team
Thomas Jenkins,36,170,57,Male,Grey,Brown,Chef,Foods,Long Term,Solo
Colin Wright,43,155,52,Male,Brown,Tan,Chef,Mold,Short Term,Team
Ian Richardson,45,197,89,Male,Blonde,Dark,Engineer,Dust Mites,Short Term,Solo
Avery Davis,50,171,109,Male,White,Dark,Doctor,Latex,Short Term,Solo
Keegan Cook,23,180,88,Male,Brown,Dark,Nurse,Pollen,Long Term,Solo
Luke Miller,53,154,55,Male,Grey,Tan,Chef,Foods,Long Term,Solo
Jake Hill,55,155,114,Male,Black,Dark,Musician,Animals,Short Term,Solo
Jamie Anderson,44,195,88,Female,Grey,Dark,Musician,Latex,Long Term,Solo
John Harris,18,160,111,Female,White,Tan,Scientist,Latex,Long Term,Solo
Blake Henderson,63,177,103,Female,White,Brown,Scientist,Insect Stings,Long Term,Team
Kelsey Sanchez,49,182,112,Male,White,Light,Writer,No allergies,Long Term,Solo
Logan Moore,35,191,103,Female,Black,Tan,Scientist,Dust Mites,Long Term,Solo
Taylor Clark,36,196,74,Female,Blonde,Tan,Artist,Insect Stings,Short Term,Solo
Miles Simmons,60,179,66,Female,White,Dark,Chef,Medications,Long Term,Solo
Thomas Clark,57,163,86,Male,White,Tan,Doctor,Animals,Short Term,Team
Miles Richardson,24,200,103,Female,Blonde,Medium,Artist,Insect Stings,Short Term,Team
Nico King,25,185,78,Female,Blonde,Olive,Developer,No allergies,Long Term,Team
Wyatt Flores,50,188,63,Male,Red,Tan,Engineer,Foods,Short Term,Team
Kendall White,28,190,65,Male,Blonde,Medium,Nurse,Latex,Long Term,Team
Christian Jenkins,41,171,67,Male,Brown,Tan,Chef,No allergies,Short Term,Solo
Jacob Baker,50,160,60,Female,Blonde,Dark,Chef,Dust Mites,Short Term,Team
Seth Russell,51,176,79,Male,Red,Tan,Chef,Latex,Long Term,Team
Kai Martinez,18,195,116,Male,Black,Olive,Developer,Medications,Short Term,Solo
Charlie Stewart,20,192,69,Male,White,Dark,Writer,Mold,Long Term,Solo
Kaiden Jenkins,31,184,106,Female,White,Tan,Artist,Mold,Short Term,Team
Seth Coleman,28,151,53,Female,Brown,Olive,Chef,Insect Stings,Short Term,Team
Tyler Evans,34,190,114,Female,Black,Light,Engineer,Latex,Long Term,Team
Kayden Turner,33,197,118,Male,Blonde,Olive,Nurse,Perfumes/Household Chemicals,Short Term,Solo
Kyle Bryant,33,156,91,Male,Blonde,Tan,Engineer,Animals,Long Term,Solo
Aiden Thomas,21,177,66,Female,Brown,Tan,Engineer,Dust Mites,Long Term,Solo
Finn Sanders,49,190,104,Female,White,Tan,Chef,Animals,Short Term,Team
Kelsey Simmons,47,158,115,Male,White,Medium,Musician,Latex,Short Term,Team
Lucas Evans,25,188,102,Male,Black,Olive,Scientist,Mold,Short Term,Team
Carson Evans,37,173,88,Female,Red,Light,Doctor,Animals,Long Term,Team
Isaac Baker,31,161,112,Male,Black,Brown,Developer,Foods,Short Term,Solo
Kelly Kelly,37,186,107,Female,Red,Tan,Scientist,Animals,Short Term,Solo
Shane Bell,60,178,69,Female,Black,Brown,Scientist,Medications,Long Term,Team
John Turner,52,152,106,Female,White,Light,Doctor,No allergies,Long Term,Team
Oliver Watson,23,162,119,Male,Grey,Brown,Artist,Latex,Short Term,Team
Parker Gray,29,151,85,Male,Brown,Dark,Scientist,Latex,Short Term,Solo
Jonah Price,20,181,52,Female,Red,Medium,Chef,No allergies,Long Term,Solo
Evan Thomas,25,156,119,Male,Blonde,Medium,Doctor,Mold,Short Term,Team
Jace Martinez,44,170,83,Female,Black,Light,Artist,Pollen,Short Term,Solo
Kevin Russell,50,174,64,Female,Black,Olive,Musician,Insect Stings,Long Term,Team
Kelly Jones,44,190,79,Male,Blonde,Brown,Scientist,Foods,Short Term,Team
Lucas Bell,20,150,109,Female,White,Medium,Teacher,No allergies,Long Term,Solo
Ian Thomas,43,194,65,Male,White,Brown,Nurse,Medications,Short Term,Solo
Quentin Turner,58,166,107,Female,Brown,Dark,Developer,Dust Mites,Short Term,Solo
